"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"mii-lm-studie-logicalmodel","mii-lm-studie-logicalmodel","","","",0,*,"","","","null {[]} {[]}
","MII LM Studie LogicalModel","Logische Repräsentation der Forschungsvorhaben","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Titel.extension","mii-lm-studie-logicalmodel.Titel.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Titel.modifierExtension","mii-lm-studie-logicalmodel.Titel.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Titel.OeffentlicherTitel","mii-lm-studie-logicalmodel.Titel.OeffentlicherTitel","","","",0,*,"","","","string {[]} {[]}
","Öffentlich sichtbarer Titel","Öffentlich sichtbarer Titel","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Titel.OeffentlicherTitel",0,*,"",""
"mii-lm-studie-logicalmodel.Titel.WissenschaftlicherTitel","mii-lm-studie-logicalmodel.Titel.WissenschaftlicherTitel","","","",0,*,"","","","string {[]} {[]}
","Wissenschaftlicher Titel","Wissenschaftlicher Titel","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Titel.WissenschaftlicherTitel",0,*,"",""
"mii-lm-studie-logicalmodel.Titel.Akronym","mii-lm-studie-logicalmodel.Titel.Akronym","","","",0,*,"","","","string {[]} {[]}
","Akronym des Titels","Akronym des Titels","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Titel.Akronym",0,*,"",""
"mii-lm-studie-logicalmodel.Einwilligung","mii-lm-studie-logicalmodel.Einwilligung","","","",0,*,"","","","Reference {[]} {[]}
","Einwilligung eines Forschungsvorhabens","Einwilligung eines Forschungsvorhabens","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Einwilligung",0,*,"",""
"mii-lm-studie-logicalmodel.Kontakt","mii-lm-studie-logicalmodel.Kontakt","","","",0,*,"","","","BackboneElement {[]} {[]}
","Kontakt eines Forschungsvorhabens","Kontakt eines Forschungsvorhabens","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Kontakt",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Kontakt.id","mii-lm-studie-logicalmodel.Kontakt.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-studie-logicalmodel.Kontakt.extension","mii-lm-studie-logicalmodel.Kontakt.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Kontakt.modifierExtension","mii-lm-studie-logicalmodel.Kontakt.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Kontakt.Titel","mii-lm-studie-logicalmodel.Kontakt.Titel","","","",0,*,"","","","string {[]} {[]}
","Titel eines Kontakts","Titel eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Kontakt.Titel",0,*,"",""
"mii-lm-studie-logicalmodel.Kontakt.Vorname","mii-lm-studie-logicalmodel.Kontakt.Vorname","","","",0,*,"","","","string {[]} {[]}
","Vorname eines Kontakts","Vorname eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Kontakt.Vorname",0,*,"",""
"mii-lm-studie-logicalmodel.Kontakt.Nachname","mii-lm-studie-logicalmodel.Kontakt.Nachname","","","",0,*,"","","","string {[]} {[]}
","Nachname eines Kontakts","Nachname eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Kontakt.Nachname",0,*,"",""
"mii-lm-studie-logicalmodel.Kontakt.Adresse","mii-lm-studie-logicalmodel.Kontakt.Adresse","","","",0,*,"","","","BackboneElement {[]} {[]}
","Adresse eines Kontakts","Adresse eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Kontakt.Adresse",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Kontakt.Adresse.id","mii-lm-studie-logicalmodel.Kontakt.Adresse.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-studie-logicalmodel.Kontakt.Adresse.extension","mii-lm-studie-logicalmodel.Kontakt.Adresse.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Kontakt.Adresse.modifierExtension","mii-lm-studie-logicalmodel.Kontakt.Adresse.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Kontakt.Adresse.Strasse","mii-lm-studie-logicalmodel.Kontakt.Adresse.Strasse","","","",0,*,"","","","string {[]} {[]}
","Strasse einer Adresse","Strasse einer Adresse","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Kontakt.Adresse.Strasse",0,*,"",""
"mii-lm-studie-logicalmodel.Kontakt.Adresse.Hausnummer","mii-lm-studie-logicalmodel.Kontakt.Adresse.Hausnummer","","","",0,*,"","","","string {[]} {[]}
","Hausnummer einer Adresse","Hausnummer einer Adresse","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Kontakt.Adresse.Hausnummer",0,*,"",""
"mii-lm-studie-logicalmodel.Kontakt.Adresse.PLZ","mii-lm-studie-logicalmodel.Kontakt.Adresse.PLZ","","","",0,*,"","","","string {[]} {[]}
","PLZ einer Adresse","PLZ einer Adresse","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Kontakt.Adresse.PLZ",0,*,"",""
"mii-lm-studie-logicalmodel.Kontakt.Adresse.Wohnort","mii-lm-studie-logicalmodel.Kontakt.Adresse.Wohnort","","","",0,*,"","","","string {[]} {[]}
","Wohnort einer Adresse","Wohnort einer Adresse","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Kontakt.Adresse.Wohnort",0,*,"",""
"mii-lm-studie-logicalmodel.Kontakt.Adresse.Land","mii-lm-studie-logicalmodel.Kontakt.Adresse.Land","","","",0,*,"","","","code {[]} {[]}
","Land einer Adresse","Land einer Adresse","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Kontakt.Adresse.Land",0,*,"",""
"mii-lm-studie-logicalmodel.Kontakt.Email","mii-lm-studie-logicalmodel.Kontakt.Email","","","",0,*,"","","","string {[]} {[]}
","Email eines Kontakts","Email eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Kontakt.Email",0,*,"",""
"mii-lm-studie-logicalmodel.Kontakt.Tel","mii-lm-studie-logicalmodel.Kontakt.Tel","","","",0,*,"","","","string {[]} {[]}
","Telefonnummer eines Kontakts","Telefonnummer eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Kontakt.Tel",0,*,"",""
"mii-lm-studie-logicalmodel.Kontakt.Zugehoerigkeit","mii-lm-studie-logicalmodel.Kontakt.Zugehoerigkeit","","","",0,*,"","","","string {[]} {[]}
","Zugehoerigkeit eines Kontakts","Zugehoerigkeit eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Kontakt.Zugehoerigkeit",0,*,"",""
"mii-lm-studie-logicalmodel.Beteiligter","mii-lm-studie-logicalmodel.Beteiligter","","","",0,*,"","","","BackboneElement {[]} {[]}
","Beteiligter eines Forschungsvorhabens","Beteiligter eines Forschungsvorhabens","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Beteiligter",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Beteiligter.id","mii-lm-studie-logicalmodel.Beteiligter.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-studie-logicalmodel.Beteiligter.extension","mii-lm-studie-logicalmodel.Beteiligter.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Beteiligter.modifierExtension","mii-lm-studie-logicalmodel.Beteiligter.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Beteiligter.Rolle","mii-lm-studie-logicalmodel.Beteiligter.Rolle","","","",0,*,"","","","string {[]} {[]}
","Rolle eines Beteiligten","Rolle eines Beteiligten","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Beteiligter.Rolle",0,*,"",""
"mii-lm-studie-logicalmodel.Beteiligter.Kontakt","mii-lm-studie-logicalmodel.Beteiligter.Kontakt","","","",0,*,"","","","BackboneElement {[]} {[]}
","Kontakt eines Beteiligten","Kontakt eines Beteiligten","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Beteiligter.Kontakt",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Beteiligter.Kontakt.id","mii-lm-studie-logicalmodel.Beteiligter.Kontakt.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-studie-logicalmodel.Beteiligter.Kontakt.extension","mii-lm-studie-logicalmodel.Beteiligter.Kontakt.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Beteiligter.Kontakt.modifierExtension","mii-lm-studie-logicalmodel.Beteiligter.Kontakt.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-studie-logicalmodel.Beteiligter.Kontakt.Grad","mii-lm-studie-logicalmodel.Beteiligter.Kontakt.Grad","","","",0,*,"","","","string {[]} {[]}
","Grad eines Kontakts","Grad eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Beteiligter.Kontakt.Grad",0,*,"",""
"mii-lm-studie-logicalmodel.Beteiligter.Kontakt.Vorname","mii-lm-studie-logicalmodel.Beteiligter.Kontakt.Vorname","","","",0,*,"","","","string {[]} {[]}
","Vorname eines Kontakts","Vorname eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Beteiligter.Kontakt.Vorname",0,*,"",""
"mii-lm-studie-logicalmodel.Beteiligter.Kontakt.Nachname","mii-lm-studie-logicalmodel.Beteiligter.Kontakt.Nachname","","","",0,*,"","","","string {[]} {[]}
","Nachname eines Kontakts","Nachname eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Beteiligter.Kontakt.Nachname",0,*,"",""
"mii-lm-studie-logicalmodel.Beteiligter.Kontakt.Adresse","mii-lm-studie-logicalmodel.Beteiligter.Kontakt.Adresse","","","",0,*,"","","","BackboneElement {[]} {[]}
","Adresse eines Kontakts","Adresse eines Kontakts","","","","","","","","","",,,,,"",,,,"mii-lm-studie-logicalmodel.Beteiligter.Kontakt.Adresse",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-studie-logicalmodel.Beteiligter.Kontakt.Adresse.id","mii-lm-studie-logicalmodel.Beteiligter.Kontakt.Adresse.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
